TITLE,FRAME_SIZE,PRDCT_SIZE,PRDCT_CL,PRDCT_CL_NM,WRITER,NATION,LOCATION,IMAGE_URL,IMAGE_NM,RDCNT,WRHOUSNG_DT,ACQS_DT
"악어이야기 1, 2, 3",-,85x60cm x 3점,7,드로잉,안규철,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/44e434d8-e224-4a06-acee-70fa01ceb36e.jpg,196_안규철_악어이야기 1_soma_1810_acv__DSC0259.jpg,58,20141224,20141224
1936년의 서울거리,73.5x58.8cm,68x53cm,4,판화,백남준,대한민국,미술관 1관,/manage/upload_files/collection/2018/12/26/6b57c922-e259-40e5-bf85-8e5b6517baff.jpg,017_백남준_1936년의 서울거리_soma_1810_acv__DSC0013.jpg,11,20000201,20000303
1950년대 여인,,38*26.2cm,7,드로잉,이만익,한국,수장고,/manage/upload_files/collection/2021/01/13/e04cfccf-a904-435d-8936-a243ca9660b1.jpg,1950년대 여인(이만익).jpg,26,20201214,20201228
우린 그렇게 노래한다네_2,59.5x82.5cm,56x78cm,7,드로잉,송민규,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/03109c8f-e846-4c8c-b3f2-a47adbde06e5.jpg,126_송민규_우린 그렇게 노래한다네_2_soma_1810_acv__DSC0334.jpg,6,20071201,20071218
서울 모더니즘_2,72.4x29.5cm,70x27cm,7,드로잉,박용석,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/1326accf-3ee3-4a44-975f-f19f3c0d72ce.jpg,092_박용석_서울 모더니즘_2_soma_1810_acv__DSC0324.jpg,6,20061201,20061228
무제_2,76x50.2cm,62x37.7cm,7,드로잉,정승운,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/dd5af53a-886d-42b7-a719-1794f734b445.jpg,083_정승운_무제_2_soma_1810_acv__DSC0146.jpg,8,20061201,20061228
무제_2,68.9x116.9cm,68x111cm,7,드로잉,오원배,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/fc95a49d-5025-4b29-89a9-65d51a00a195.jpg,073_오원배_무제_2_soma_1810_acv__DSC0166.jpg,10,20051201,20051230
무제_2,51x43cm,42x35cm,7,드로잉,옥경(기증),대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/b2f5d90e-0482-4934-a5ac-fd4b24322ada.jpg,171_옥경_옥경-무제_2_soma_1810_acv__DSC0391.jpg,22,20060529,20100204
무제_2,112.6x87.9cm,108x83cm,5,사진,성남훈,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/0ce183c3-340d-4e21-b4ae-886fc20c1850.jpg,053_성남훈_무제_2_soma_1810_acv__DSC0108.jpg,3,20051201,20051230
무제_2,85x39cm,29x21cm,7,드로잉,이영빈,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/278836d0-8f52-4a8e-abd1-11ef7570d613.jpg,130_이영빈_무제_2_soma_1810_acv__DSC0065.jpg,15,20071201,20071218
드로잉2,41.3x48cm,24.5x18.4cm,7,드로잉,하인두,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/e210200c-1273-43fe-8159-7408020afed7.jpg,151_하인두_드로잉2_앞_soma_1810_acv__DSC0120.jpg,8,20081230,20090130
